search URL:,https://patents.google.com/?q=%28%22attractor%22+OR+%22potential+well%22+OR+%22nonlinear+dynamics%22%29+AND+%28%22mental+health%22+OR+%22anxiety%22+OR+%22addiction%22+OR+%22rumination%22+OR+%22well-being%22%29+AND+%28%22biosensor%22+OR+%22wearable%22+OR+%22digital+phenotyping%22+OR+%22voice+analysis%22%29+AND+%28%22intervention%22+OR+%22modulation%22+OR+%22therapy%22+OR+%22personalized%22%29&oq=%28%22attractor%22+OR+%22potential+well%22+OR+%22nonlinear+dynamics%22%29+AND+%28%22mental+health%22+OR+%22anxiety%22+OR+%22addiction%22+OR+%22rumination%22+OR+%22well-being%22%29+AND+%28%22biosensor%22+OR+%22wearable%22+OR+%22digital+phenotyping%22+OR+%22voice+analysis%22%29+AND+%28%22intervention%22+OR+%22modulation%22+OR+%22therapy%22+OR+%22personalized%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2916909-B1,Device for non-invasive magnetic or electrical nerve stimulation to treat or prevent dementia ,Electrocore LLC,"Bruce J. Simon, Joseph P. Errico, John T. Raffle",2012-11-08,2013-11-06,2021-01-27,2021-01-27,https://patents.google.com/patent/EP2916909B1/en,https://patentimages.storage.googleapis.com/f7/e7/49/aa55a623216f3f/imgf0001.png
WO-2016014436-A1,Mobile phone for stimulating the trigeminal nerve to treat disorders ,"ElectroCore, LLC","Joseph P. Errico, Steven Mendez, Bruce J. Simon",2014-07-21,2015-07-20,2016-01-28,,https://patents.google.com/patent/WO2016014436A1/en,
WO-2013023004-A2,Systems and methods for sensing balanced-action for improving mammal work-track efficiency ,Solinsky James C,James C. Solinsky,2011-08-08,2012-08-08,2013-02-14,,https://patents.google.com/patent/WO2013023004A2/en,
EP-2931113-A1,Unobtrusive active eye interrogation ,"Brown, Allen, L., Jr., Douglas C. Burger, Eric Horvitz, Roderick A. Hyde, Edward K.Y. Jung, Eric C. Leuthardt, Jordin T. Kare, Chris Demetrios Karkanias, John L. Manferdelli, Craig J. Mundie, Nathan P. Myhrvold, Pell, Barney, D., Clarence T. Tegreene, Willard H. Wattenburg, Charles Whitmer, Lowell L. Wood, Jr., Richard N. Zare","Allen L. BROWN, Jr., Douglas C. Burger, Eric Horvitz, Roderick A. Hyde, Edward K.Y. Jung, Eric C. Leuthardt, Jordin T. Kare, Chris Demetrios Karkanias, John L. Manferdelli, Craig J. Mundie, Nathan P. Myhrvold, Barney D. PELL, Clarence T. Tegreene, Willard H. Wattenburg, Charles Whitmer, Lowell L. Wood, Jr., Richard N. Zare",2012-12-11,2013-12-11,2015-10-21,,https://patents.google.com/patent/EP2931113A1/en,
KR-20220002899-A,Methods of Treating Prostate Cancer with Anti-PSMA/CD3 Antibodies ,얀센 바이오테크 인코포레이티드,"테레사 맥데빗, 쇼바 셰티, 홍 씨에",2019-04-19,2020-04-17,2022-01-07,,https://patents.google.com/patent/KR20220002899A/en,https://patentimages.storage.googleapis.com/0f/e0/d6/0a556b0048dbd8/pct00150.png
KR-20220002900-A,How to treat kidney cancer with anti-PSMA/CD3 antibodies ,얀센 바이오테크 인코포레이티드,"테레사 맥데빗, 쇼바 셰티, 홍 씨에",2019-04-19,2020-04-17,2022-01-07,,https://patents.google.com/patent/KR20220002900A/en,https://patentimages.storage.googleapis.com/74/fd/8d/2c889abd5bf3de/pct00147.png
EP-2652512-B1,Use of ide as a biomarker for a scalp condition ,L'Oréal,"Caroline Delattre, Philémon SIRVEN, Dominique Bernard",2010-12-13,2011-12-12,2018-03-14,2018-03-14,https://patents.google.com/patent/EP2652512B1/en,https://patentimages.storage.googleapis.com/81/06/cb/1aed8741ca4f92/imgf0001.png
JP-6901545-B2,Methods for Treating Atopic Dermatitis by Administering IL-4R Antagonists ,"リジェネロン・ファーマシューティカルズ・インコーポレイテッドＲｅｇｅｎｅｒｏｎ Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ， Ｉｎｃ．, リジェネロン・ファーマシューティカルズ・インコーポレイテッド, サノフィ・バイオテクノロジー","マリアス・アーデリアヌ, ニール・グレアム, ジェニファー・ディー・ハミルトン, ステファーヌ・シー・キルケッセリ, サディープ・クンドゥ, ジェフリー・ミーン, アレン・ラディン, ロス・イー・ロックリン, スティーヴン・ピー・ウェインスティン",2012-09-07,2019-12-18,2021-07-14,2021-07-14,https://patents.google.com/patent/JP6901545B2/en,https://patentimages.storage.googleapis.com/a7/bf/d4/9a42573937d1b2/0006901545-68.png
US-2019374150-A1,Diagnosing system for consciousness level measurement and method thereof ,Penina Ohana Lubelchick,Penina Ohana Lubelchick,2010-09-07,2017-05-09,2019-12-12,,https://patents.google.com/patent/US20190374150A1/en,https://patentimages.storage.googleapis.com/c7/05/8f/7a92b4ba3d3280/US20190374150A1-20191212-D00000.png
US-2022094707-A1,Assessing cyber competence by analyzing human biometrics using neural network model ,"Soorena Merat, Wahab ALMUHTADI","Soorena Merat, Wahab ALMUHTADI",2020-09-18,2021-09-20,2022-03-24,,https://patents.google.com/patent/US20220094707A1/en,https://patentimages.storage.googleapis.com/b8/d8/cb/89229b2797af7e/US20220094707A1-20220324-D00000.png
WO-2008108816-A1,System and method for subject management using intelligent rf tag and reader ,"Fort Supply Ip, Llc","Nephi Taylor Harvey, Malcolm Randall Harvey, Ian Robert Harvey, Christopher F. Smith, Shayne Messerly",2007-03-05,2007-09-28,2008-09-12,,https://patents.google.com/patent/WO2008108816A1/en,
WO-2018035504-A1,Gas treatment delivery systems and methods ,"Lane Ronald Howard, Barry Davignon, Peter Heath","Ronald Howard LANE, Barry Davignon, Peter Heath",2016-08-19,2017-08-18,2018-02-22,,https://patents.google.com/patent/WO2018035504A1/en,
CN-118592907-A,Method and system for user health monitoring based on smart ring ,深圳市雅为智能技术有限公司,"高锦锋, 魏育祥",2024-05-30,2024-05-30,2024-09-06,,https://patents.google.com/patent/CN118592907A/en,
CN-113220122-A,"Brain wave audio processing method, equipment and system ",西安慧脑智能科技有限公司,"韩旭, 韩明, 张丹青",2021-05-06,2021-05-06,2021-08-06,,https://patents.google.com/patent/CN113220122A/en,https://patentimages.storage.googleapis.com/10/73/01/60193bd509e92e/HDA0003051977310000011.png
CN-114334090-A,Data analysis method and device and electronic equipment ,博奥生物集团有限公司,"王文君, 刘雪瑞, 朱婷, 候建伟",2022-03-02,2022-03-02,2022-04-12,,https://patents.google.com/patent/CN114334090A/en,https://patentimages.storage.googleapis.com/f1/28/28/bcab1ee5ca9a37/2202091541591.png
US-2025099753-A1,Wearable treatment device for non-invasive nerve stimulation ,"Electrocore, Inc.","Jeckin Shah, Jonathan Gardiner, Dan Goldberger, Manuel A. Marques",2023-09-22,2024-09-20,2025-03-27,,https://patents.google.com/patent/US20250099753A1/en,https://patentimages.storage.googleapis.com/6a/c0/77/ebeb1525e5ecf3/US20250099753A1-20250327-D00000.png
US-2022323745-A1,Nerve stimulation therapy for maintaining telomere lengths ,"Electrocore, Inc","Peter Staats, Bruce J. Simon, Joseph P. Errico",2017-12-22,2022-04-28,2022-10-13,,https://patents.google.com/patent/US20220323745A1/en,https://patentimages.storage.googleapis.com/99/ec/ee/b5a5928582c6d9/US20220323745A1-20221013-D00000.png
JP-2025090636-A,Apparatus for determining and monitoring neurological or muscular disorders and method for determining movement disorders - Patents.com ,バートン，デイビット,バートン，デイビット,2015-01-06,2025-02-28,2025-06-17,,https://patents.google.com/patent/JP2025090636A/en,
US-2025161667-A1,Wearable disposable electrotherapy device ,Research Foundation Of The City University Of New York,"Marom Bikson, Mohamad FallahRad, Alexander Couzis",2023-11-21,2024-11-21,2025-05-22,,https://patents.google.com/patent/US20250161667A1/en,https://patentimages.storage.googleapis.com/0a/c4/2c/61a7df4079042b/US20250161667A1-20250522-D00000.png
US-2024316342-A1,Non-invasive nerve stimulation with mobile software application ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2013-01-15,2024-03-04,2024-09-26,,https://patents.google.com/patent/US20240316342A1/en,https://patentimages.storage.googleapis.com/54/e5/b8/4bad6157889e71/US20240316342A1-20240926-D00000.png
US-2024181270-A1,System and method for an electromagnetic field holistic health and sexual wellness device ,"OSexiFi,. Inc.",Balkees Abderrahman,2022-12-06,2023-12-06,2024-06-06,,https://patents.google.com/patent/US20240181270A1/en,https://patentimages.storage.googleapis.com/73/30/15/9c719291fd71df/US20240181270A1-20240606-D00000.png
EP-4537359-A1,Digital mental twin ,Zentralinstitut Für Seelische Gesundheit,Andreas MEYER-LINDENBERG,2022-06-08,2023-06-08,2025-04-16,,https://patents.google.com/patent/EP4537359A1/en,
US-2022238230-A1,Methods for modulating the function of biological regulatory networks in health and disease by exploiting their memory properties ,Trustees Of Tufts College,"Michael Levin, Surama Biswas",2021-01-15,2022-01-18,2022-07-28,,https://patents.google.com/patent/US20220238230A1/en,https://patentimages.storage.googleapis.com/15/d4/62/b6bb55998aa358/US20220238230A1-20220728-D00000.png
WO-2025130992-A1,Real-time artifact processing and feature extraction method and system for electroencephalogram signal ,北京津发科技股份有限公司,"赵起超, 杨苒, 王清菊",2023-12-21,2024-12-19,2025-06-26,,https://patents.google.com/patent/WO2025130992A1/en,
WO-2024136900-A1,Cardiac function assessment system ,"Medici Technologies, LLC","Mark Ries Robinson, Elena A ALLEN",2022-12-21,2022-12-21,2024-06-27,,https://patents.google.com/patent/WO2024136900A1/en,
CN-119650059-A,Intelligent health management method and system ,友福同享(深圳)智能科技有限公司,"陈维航, 曾荣耀, 鲁瑞, 陈彬, 陈南平",2024-11-26,2024-11-26,2025-03-18,,https://patents.google.com/patent/CN119650059A/en,
WO-2021034771-A1,Surrogate of vo2 max test ,The Board Of Trustees Of The Leland Stanford Junior University,"Michael P. Snyder, Kevin Contrepois, Francois Haddad, Si Wu",2019-08-16,2020-08-17,2021-02-25,,https://patents.google.com/patent/WO2021034771A1/en,
CN-118782248-A,"Intelligent analysis method, device and computer equipment for improving sleep quality ",友福同享(深圳)智能科技有限公司,"陈维航, 曾荣耀, 鲁瑞, 陈南平",2024-07-24,2024-07-24,2024-10-15,,https://patents.google.com/patent/CN118782248A/en,
KR-20230103367-A,Method of providing cell health information through interstitial fluid normalization to patients undergoing treatment ,어호용,어호용,2021-12-31,2021-12-31,2023-07-07,,https://patents.google.com/patent/KR20230103367A/en,https://patentimages.storage.googleapis.com/0e/8b/1f/1ec963cb3dbafb/pat00001.png
CN-118514577-B,Method and device for controlling seat based on seat controller ,上海万柔汽车电子有限公司,"周宇航, 娄烨烽, 邓伟华, 谢刚",2024-07-23,2024-07-23,2024-11-15,2024-11-15,https://patents.google.com/patent/CN118514577B/en,
CN-118717118-A,A stress and emotion monitoring method and monitoring system based on electrocardiogram signals ,中国科学院西安光学精密机械研究所,"王禹淇, 王荃, 胡炳樑, 党若琛",2024-05-22,2024-05-22,2024-10-01,,https://patents.google.com/patent/CN118717118A/en,
